,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sao Felix do Xingu,24,BR,1553725330,89,-6.64,-51.99,78.9,2.24
1,Illapel,0,CL,1553725416,83,-31.63,-71.17,65.49,3.13
2,Hobart,0,AU,1553725274,71,-42.88,147.33,61.0,13.87
3,Bredasdorp,20,ZA,1553724978,82,-34.53,20.04,66.2,3.36
4,Punta Arenas,0,CL,1553725348,57,-53.16,-70.91,51.8,25.28
5,Port Alfred,0,ZA,1553725417,84,-33.59,26.89,70.89,6.49
6,Vaini,0,IN,1553725417,90,15.34,74.49,69.09,1.9
7,Longyearbyen,40,NO,1553723400,62,78.22,15.63,21.2,5.82
8,Hilo,20,US,1553725404,57,19.71,-155.08,78.8,11.41
9,Lebu,20,ET,1553725418,83,8.96,38.73,55.23,4.59
10,Atuona,0,PF,1553725418,99,-9.8,-139.03,82.86,14.43
11,Busselton,32,AU,1553725300,59,-33.64,115.35,54.0,13.2
12,Padang,20,ID,1553720400,94,-0.92,100.36,77.0,5.82
13,Upernavik,36,GL,1553725419,100,72.79,-56.15,4.56,8.28
14,San Juan,48,AR,1553725184,49,-31.54,-68.53,71.79,4.47
15,Rikitea,92,PF,1553725419,100,-23.12,-134.97,74.49,9.95
16,Turukhansk,88,RU,1553725420,92,65.8,87.96,28.14,13.98
17,Encruzilhada,68,BR,1553725420,82,-15.53,-40.91,73.86,5.37
18,Severo-Kurilsk,92,RU,1553725420,100,50.68,156.12,29.04,26.28
19,Marzuq,0,YE,1553725420,92,14.4,46.47,54.06,2.8
20,Seia,0,PT,1553724928,59,40.42,-7.7,57.99,4.0
21,Santiago,0,CL,1553725216,31,-33.44,-70.65,78.8,8.05
22,Tuktoyaktuk,90,CA,1553722740,92,69.44,-133.03,28.4,19.46
23,Laguna,75,MX,1553723100,19,27.52,-110.01,86.0,11.41
24,Tasiilaq,20,GL,1553723400,67,65.61,-37.64,19.4,10.29
25,Saskylakh,20,RU,1553725423,73,71.97,114.09,14.1,6.49
26,Atar,0,MR,1553725423,30,20.52,-13.05,65.76,4.14
27,Port Lincoln,0,AU,1553725424,100,-34.72,135.86,55.68,4.03
28,Torbay,20,CA,1553725008,52,47.66,-52.73,21.99,10.29
29,Ilulissat,75,GL,1553723400,71,69.22,-51.1,8.6,13.87
30,Jamestown,12,AU,1553725359,82,-33.21,138.6,42.27,4.47
31,Castro,0,CL,1553724000,67,-42.48,-73.76,60.8,8.05
32,Makinsk,20,KZ,1553725425,83,52.63,70.42,23.73,9.73
33,Marsa Matruh,0,EG,1553720400,82,31.35,27.25,55.4,3.13
34,Bambous Virieux,40,MU,1553725146,83,-20.34,57.76,80.6,8.05
35,Bongandanga,32,CD,1553725426,88,1.51,21.07,79.62,4.59
36,Mataura,64,NZ,1553725207,81,-46.19,168.86,55.99,1.01
37,Norman Wells,90,CA,1553720400,64,65.28,-126.83,35.6,3.36
38,Durres,40,AL,1553723400,71,41.32,19.44,51.8,9.51
39,Yellowknife,75,CA,1553725073,73,62.45,-114.38,27.0,4.7
40,Namibe,0,AO,1553725427,95,-15.19,12.15,79.17,15.66
41,Georgetown,40,GY,1553724000,69,6.8,-58.16,82.4,11.41
42,Tura,8,IN,1553725428,94,25.52,90.21,61.8,3.58
43,San Alberto,0,PY,1553724000,69,-24.98,-54.91,77.0,6.93
44,Novovorontsovka,0,UA,1553725429,94,47.5,33.92,36.15,11.74
45,Clyde River,75,CA,1553724000,77,70.47,-68.59,-2.21,4.7
46,Saint-Philippe,1,CA,1553725418,22,45.36,-73.48,46.0,4.7
47,Berlevag,75,NO,1553723400,80,70.86,29.09,35.6,20.8
48,Albany,20,US,1553725393,15,42.65,-73.75,48.99,6.93
49,Hermanus,48,ZA,1553724978,93,-34.42,19.24,64.0,1.9
50,Nanortalik,68,GL,1553725430,100,60.14,-45.24,24.27,19.46
51,Zhigansk,0,RU,1553725431,76,66.77,123.37,-3.64,6.26
52,Puerto Ayora,0,EC,1553724921,70,-0.74,-90.35,84.2,13.87
53,Kalemie,8,CD,1553725431,100,-5.95,29.2,77.64,4.81
54,Constitucion,40,MX,1553725216,10,23.99,-104.67,82.99,11.41
55,Leshukonskoye,8,RU,1553725432,76,64.9,45.76,17.97,4.36
56,Manono,8,CD,1553725432,94,-7.3,27.4,70.89,2.68
57,Baglung,0,NP,1553725432,63,28.27,83.59,46.77,3.47
58,Hithadhoo,92,MV,1553725433,100,-0.6,73.08,78.45,3.58
59,Pevek,88,RU,1553725433,93,69.7,170.27,14.19,17.11
60,Broome,75,GB,1553725405,81,52.47,1.45,48.99,3.36
61,Phonhong,56,LA,1553725434,90,18.5,102.42,74.22,4.47
62,Paamiut,20,GL,1553725434,100,61.99,-49.67,23.19,12.97
63,Nicoya,20,CR,1553724000,43,10.15,-85.45,91.4,26.4
64,Bethel,90,US,1553723760,74,60.79,-161.76,39.2,16.11
65,Maragogi,56,BR,1553725190,93,-9.01,-35.22,79.44,6.26
66,Esso,8,RU,1553725435,69,55.93,158.7,-4.63,1.79
67,Kavieng,12,PG,1553725436,100,-2.57,150.8,83.67,8.16
68,Iqaluit,75,CA,1553725322,71,63.75,-68.52,5.0,8.05
69,Talnakh,88,RU,1553725436,93,69.49,88.39,29.04,18.23
70,Santa Flavia,75,CL,1553724000,62,-51.55,-72.35,55.4,11.41
71,Mar del Plata,0,AR,1553725437,33,-46.43,-67.52,75.84,9.4
72,Yulara,0,AU,1553720400,35,-25.24,130.99,57.2,5.82
73,Salta,90,AR,1553724000,87,-24.79,-65.41,55.4,3.36
74,Santa Cruz,90,US,1553725436,93,36.97,-122.03,64.99,9.17
75,Coihaique,0,CL,1553724000,32,-45.58,-72.07,69.8,4.7
76,Okato,0,NZ,1553725398,70,-39.19,173.88,69.01,1.99
77,Mahuva,0,IN,1553725440,86,21.09,71.76,81.69,7.94
78,Khatanga,0,RU,1553725441,80,71.98,102.47,16.8,9.84
79,Port Blair,40,IN,1553720400,100,11.67,92.75,75.2,2.24
80,Dikson,80,RU,1553725441,93,73.51,80.55,25.17,40.38
81,Ulaangom,8,MN,1553725441,52,49.98,92.07,3.21,3.91
82,New Norfolk,0,AU,1553725394,71,-42.78,147.06,61.0,13.87
83,Ushuaia,40,AR,1553720400,57,-54.81,-68.31,50.0,28.86
84,Bluff,100,AU,1553725442,96,-23.58,149.07,70.8,11.74
85,Kahta,75,TR,1553723400,100,37.78,38.62,45.0,2.24
86,Moustheni,20,GR,1553725437,87,40.86,24.11,50.0,5.82
87,Codrington,40,AU,1553725253,82,-28.95,153.24,69.8,2.24
88,Ormara,0,PK,1553725444,74,25.21,64.64,73.77,8.61
89,Nikolskoye,0,RU,1553724968,58,59.7,30.79,28.4,4.47
90,Saryg-Sep,88,RU,1553725444,68,51.49,95.55,17.7,2.35
91,Kutum,0,SD,1553725444,20,14.2,24.66,68.82,11.63
92,Richards Bay,0,ZA,1553725445,81,-28.77,32.06,71.79,12.3
93,Thompson,90,CA,1553720400,63,55.74,-97.86,26.6,18.34
94,Trairi,56,BR,1553725445,100,-3.28,-39.27,80.34,5.93
95,Karratha,0,AU,1553725445,87,-20.74,116.85,65.76,3.13
96,Cayenne,75,GF,1553722200,69,4.94,-52.33,82.4,9.17
97,Makakilo City,1,US,1553725390,65,21.35,-158.09,80.01,8.05
98,Wanning,90,AT,1553725403,75,48.64,13.53,42.8,9.17
99,Hasaki,75,JP,1553724276,44,35.73,140.83,57.2,9.17
100,Mpika,20,ZM,1553725447,85,-11.84,31.4,67.74,9.06
101,Lorengau,44,PG,1553725447,100,-2.02,147.27,80.25,6.71
102,Safranbolu,68,TR,1553725447,92,41.25,32.69,37.05,2.01
103,Avarua,36,CK,1553724000,78,-21.21,-159.78,82.4,10.29
104,Oistins,40,BB,1553724000,69,13.07,-59.53,80.6,16.11
105,Cape Town,0,ZA,1553724965,93,-33.93,18.42,66.0,3.36
106,Kendari,32,ID,1553725448,95,-3.99,122.52,72.06,2.57
107,Kapaa,40,US,1553725404,65,22.08,-159.32,77.0,13.87
108,Broken Hill,0,AU,1553720400,62,-31.97,141.45,53.6,2.8
109,Carnarvon,0,ZA,1553725449,24,-30.97,22.13,59.91,8.39
110,El Retorno,36,CO,1553725450,66,2.33,-72.63,86.19,1.9
111,Jutai,92,BR,1553725450,90,-1.71,-47.89,78.81,3.02
112,Delijan,0,IR,1553725450,72,33.99,50.69,34.44,5.03
113,Susehri,64,TR,1553725325,84,40.16,38.09,23.64,2.01
114,Geraldton,90,CA,1553720400,60,49.72,-86.95,39.2,16.11
115,Qaanaaq,36,GL,1553725451,90,77.48,-69.36,-7.96,7.27
